rank,exchangeId,name,percentTotalVolume,updated,exchangeUrl
33,independentreserve,Independent Reserve,0.086,2024-08-27 15:30:50,https://www.independentreserve.com/
34,itbit,Itbit,0.066,2024-08-27 15:30:47,https://www.itbit.com/
35,mercatox,Mercatox,0.066,2024-08-27 15:29:51,https://mercatox.com/
36,indodax,Indodax,0.059,2024-08-27 15:30:40,https://indodax.com/
37,luno,Luno,0.038,2024-08-27 15:30:40,https://www.luno.com/
38,max-exchange,Max,0.038,2024-08-27 15:30:22,https://max.maicoin.com/
39,btcmarket,BTCMarket,0.026,2024-08-27 15:30:23,https://www.btcmarkets.net/
40,binanceus,Binance.US,0.017,2024-08-27 15:30:42,https://www.binance.us/
41,btcbox,BTCBOX,0.006,2024-08-27 15:30:44,https://www.btcbox.co.jp
42,paribu,Paribu,0.003,2024-08-27 15:30:50,https://www.paribu.com/
43,coinmate,Coinmate,0.003,2024-08-27 15:30:32,https://coinmate.io/
44,gopax,GOPAX,0.001,2024-08-27 15:30:49,https://www.gopax.co.kr/
45,cex,Cex,0.001,2024-08-27 15:29:56,https://www.cex.io/
46,btctradeua,BTC Trade UA,0.0,2024-08-27 15:29:56,https://btc-trade.com.ua/
66,quoine,Quoine,,2024-07-26 18:16:08,https://quoine.com/
54,blockchain-com,Blockchain.com,,1970-01-01 08:00:00,https://blockchain.com/
53,bkex,Bkex,,1970-01-01 08:00:00,https://www.bkex.com/
52,bittrex,Bittrex,,1970-01-01 08:00:00,https://bittrex.com/
50,bitpanda-pro,Bitpanda Pro,,2024-01-02 17:40:20,https://www.bitpanda.com/en/pro
49,bithumbglobal,Bithumb Global,,2023-08-18 09:38:55,https://www.bithumb.pro/
48,bitbay,BitBay,,1970-01-01 08:00:00,https://bitbay.net
47,zb,ZB,,2022-09-04 11:02:49,https://www.zb.com/
72,wazirx,WazirX,,2024-08-27 15:30:30,https://wazirx.com/
55,coinbene,Coinbene,,1970-01-01 08:00:00,https://www.coinbene.com
67,sushi,SushiSwap,,2024-06-26 04:32:10,https://sushi.com/
68,therocktrading,The Rock Trading,,2023-02-18 01:54:57,https://www.therocktrading.com
69,thorchain,THORChain,,2022-11-14 21:16:36,https://thorchain.org/
70,uniswap,Uniswap (V2),,2024-06-26 04:32:18,https://www.uniswap.io/
71,uniswap-v3,Uniswap (V3),,2024-06-26 04:34:03,https://uniswap.org/
73,zaif,Zaif,,2022-10-20 14:15:09,https://zaif.jp/
65,qryptos,Liquid,,2024-07-26 18:16:08,https://www.qryptos.com/
51,bitrue,Bitrue,,2024-08-27 15:30:50,https://www.bitrue.com/
64,poloniex,Poloniex,,2023-08-16 16:25:23,https://poloniex.com/
63,osmosis,Osmosis,,1970-01-01 08:00:00,https://app.osmosis.zone/
62,okex,Okex,,1970-01-01 08:00:00,https://www.okex.com/
61,okcoin,OkCoin,,2023-04-13 15:30:33,https://www.okcoin.com
60,mxc-com,MXC.COM,,1970-01-01 08:00:00,https://www.mxc.com/
59,kuna,Kuna,,2023-03-02 03:07:40,https://kuna.io/
58,hotbit,Hotbit,,2023-05-24 16:32:37,https://www.hotbit.io/
57,exmarkets,ExMarkets,,2024-05-22 22:11:39,https://exmarkets.com/
56,cointiger,CoinTiger,,2024-02-05 13:33:04,https://www.cointiger.com/
